code,name,city,lat,lng,operating_hours
MOI-ASIR-281,شرطة وادي الحياء,Asir,,,3120
MOI-ASIR-282,مركز وادي الحياء,Asir,,,3120
MOI-ASIR-283,مركز حرس الحدود بالربوعه,Asir,,,3120
MOI-ASIR-284,مدير عام المالية والادارية بامارة عسير,Asir,,,3120
MOI-ASIR-285,مركز الجوف,Asir,,,3120
MOI-ASIR-286,مركز حرس الحدود بالحيفه,Asir,,,3120
MOI-ASIR-287,رئيس مركز الحدود بعاكفة,Asir,,,3120
MOI-ASIR-288,سعادة مدير ادارة الدفاع المدني,Asir,,,3120
MOI-ASIR-289,مركز الحمرة,Asir,,,3120
MOI-ASIR-290,الأحوال المدنية - ظهران الجنوب,Asir,,,3120
MOI-ASIR-291,الأحوال المدنية - ظهران الجنوب,Asir,,,3120
MOI-ASIR-292,الأحوال المدنية - ظهران الجنوب,Asir,,,3120
MOI-ASIR-293,الأحوال المدنية - ظهران الجنوب,Asir,,,3120
MOI-ASIR-294,مكافحة المخدرات بظهران الجنوب,Asir,,,3120
MOI-ASIR-295,مكافحة المخدرات بظهران الجنوب,Asir,,,3120
MOI-ASIR-296,وحدة مكافحة المخدرات بظهران,Asir,,,3120
MOI-ASIR-297,وحدة مكافحة المخدرات بظهران,Asir,,,3120
MOI-ASIR-298,النيابة العامة,Asir,,,3120
MOI-ASIR-299,النيابة العامة,Asir,,,3120
MOI-ASIR-300,النيابة العامة,Asir,,,3120
MOI-ASIR-301,النيابة العامة,Asir,,,3120
MOI-ASIR-302,مركز الغايل,Asir,,,3120
MOI-ASIR-303,مرور ظهران الجنوب,Asir,,,3120
MOI-ASIR-304,مرور ظهران الجنوب,Asir,,,3120
MOI-ASIR-305,مركز شرطه امن الغايل,Asir,,,3120
MOI-ASIR-306,شعبة جوازات ظهران الجنوب,Asir,,,3120
MOI-ASIR-307,جوازات ظهران الجنوب,Asir,,,3120
MOI-ASIR-308,مرور محافظة ظهران الجنوب,Asir,,,3120
MOI-ASIR-309,مرور محافظة ظهران الجنوب,Asir,,,3120
MOI-ASIR-310,ادارة مرور ظهران الجنوب,Asir,,,3120
MOI-ASIR-311,مرور محافظة ظهران الجنوب,Asir,,,3120
MOI-ASIR-312,ادارة مرور ظهران الجنوب,Asir,,,3120
MOI-ASIR-313,مرور محافظة ظهران الجنوب,Asir,,,3120
MOI-ASIR-314,مرور محافظة ظهران الجنوب,Asir,,,3120
MOI-ASIR-315,مرور محافظة ظهران الجنوب,Asir,,,3120
MOI-ASIR-316,الفرقه الثانيه للمجاهدين,Asir,,,3120
MOI-ASIR-317,الفرقه الثانيه للمجاهدين,Asir,,,3120
MOI-ASIR-318,الفرقه الثانيه للمجاهدين,Asir,,,3120
MOI-ASIR-319,الفرقه الثانيه للمجاهدين,Asir,,,3120
MOI-ASIR-320,مرور ظهران الجنوب,Asir,,,3120
MOI-ASIR-321,مرور ظهران الجنوب,Asir,,,3120
MOI-ASIR-322,ضيافه مركز علب,Asir,,,3120
MOI-ASIR-323,محافظة ظهران الجنوب,Asir,,,3120
MOI-ASIR-324,شرطة محافظة ظهران الجنوب,Asir,,,3120
MOI-ASIR-325,ادارة سجون ظهران الجنوب,Asir,,,3120
MOI-ASIR-326,الدفاع المدني,Asir,,,3120
MOI-ASIR-327,شرطة العرقين,Asir,,,3120
MOI-ASIR-328,مخفر شرطة العرقين,Asir,,,3120
MOI-ASIR-329,مبنى شرطة ظهران الجديد,Asir,,,3120
MOI-ASIR-330,وزارة الداخلية,Asir,,,3120
MOI-ASIR-331,وزارة الداخلية,Asir,,,3120
MOI-ASIR-332,وزارة الداخلية,Asir,,,3120
MOI-ASIR-333,وزارة الداخلية,Asir,,,3120
MOI-ASIR-334,وزارة الداخلية,Asir,,,3120
MOI-ASIR-335,وزارة الداخلية,Asir,,,3120
MOI-ASIR-336,وزارة الداخلية,Asir,,,3120
MOI-ASIR-337,وزارة الداخلية,Asir,,,3120
MOI-ASIR-338,مركز حرس الحدود الجربه,Asir,,,3120
